distance,PL,category
8.760,86.739,1.0
9.220,89.572,1.0
9.680,90.294,1.0
10.150,91.291,1.0
10.620,89.908,1.0
11.090,88.694,1.0
11.560,88.578,1.0
12.040,88.234,1.0
12.520,88.035,1.0
9.040,87.747,1.0
9.480,84.454,1.0
9.930,83.521,1.0
10.390,83.475,1.0
10.850,82.943,1.0
11.310,83.041,1.0
11.780,83.553,1.0
12.240,83.653,1.0
12.710,83.323,1.0
9.420,88.481,1.0
9.850,84.493,1.0
10.280,83.491,1.0
10.720,83.332,1.0
11.170,83.305,1.0
11.610,83.579,1.0
12.070,83.490,1.0
12.530,84.173,1.0
12.990,84.389,1.0
9.880,88.822,1.0
10.290,83.898,1.0
10.710,83.391,1.0
11.130,83.100,1.0
11.560,83.203,1.0
12.000,83.756,1.0
12.430,83.888,1.0
12.880,84.631,1.0
13.330,84.408,1.0
10.420,88.733,1.0
10.810,83.149,1.0
11.210,83.084,1.0
11.610,83.206,1.0
12.030,83.056,1.0
12.440,83.454,1.0
12.870,83.927,1.0
13.300,84.334,1.0
13.730,84.222,1.0
16.390,92.483,1.0
16.640,92.123,1.0
16.900,92.140,1.0
17.170,92.435,1.0
17.450,92.306,1.0
17.740,92.155,1.0
18.040,92.234,1.0
18.350,92.995,1.0
18.670,92.771,1.0
17.250,93.703,1.0
17.480,91.813,1.0
17.730,92.320,1.0
17.990,93.579,1.0
18.260,94.730,1.0
18.540,94.888,1.0
18.830,96.584,1.0
19.120,96.066,1.0
19.430,99.406,1.0
18.120,94.306,1.0
18.350,93.000,1.0
18.590,94.169,1.0
18.830,94.149,1.0
19.090,95.930,1.0
19.360,96.539,1.0
19.630,98.323,1.0
19.920,99.557,1.0
20.210,100.816,1.0
19.010,93.817,1.0
19.230,94.827,1.0
19.450,96.910,1.0
19.690,98.151,1.0
19.930,97.709,1.0
20.190,100.242,1.0
20.450,100.901,1.0
20.730,100.220,1.0
21.010,100.216,1.0
19.910,93.977,1.0
20.120,95.977,1.0
20.330,99.108,1.0
20.560,97.474,1.0
20.790,99.878,1.0
21.040,99.992,1.0
21.290,99.764,1.0
21.550,100.593,1.0
21.830,102.733,1.0
14.440,91.021,1.0
14.930,88.597,1.0
15.410,89.092,1.0
15.900,89.371,1.0
16.390,89.774,1.0
16.880,90.236,1.0
17.370,90.734,1.0
17.850,91.083,1.0
18.350,91.872,1.0
14.620,91.798,1.0
15.090,87.647,1.0
15.570,88.103,1.0
16.060,88.719,1.0
16.540,89.911,1.0
17.020,91.635,1.0
17.510,91.872,1.0
17.990,93.564,1.0
18.480,93.099,1.0
14.850,92.136,1.0
15.320,87.465,1.0
15.800,88.215,1.0
16.270,89.009,1.0
16.750,90.660,1.0
17.230,91.732,1.0
17.710,92.074,1.0
18.190,93.810,1.0
18.670,93.913,1.0
15.150,92.017,1.0
15.610,87.689,1.0
16.080,88.711,1.0
16.550,89.337,1.0
17.020,91.042,1.0
17.490,91.686,1.0
17.960,93.279,1.0
18.430,93.694,1.0
18.910,94.481,1.0
15.510,91.954,1.0
15.960,87.510,1.0
16.420,88.289,1.0
16.870,89.639,1.0
17.330,91.089,1.0
17.800,91.340,1.0
18.260,93.265,1.0
18.730,93.261,1.0
19.200,95.032,1.0
20.010,94.739,1.0
20.360,93.658,1.0
20.720,94.319,1.0
21.090,94.351,1.0
21.460,94.617,1.0
21.830,94.779,1.0
22.210,95.732,1.0
22.600,95.494,1.0
22.980,95.188,1.0
20.720,94.298,1.0
21.060,104.112,1.0
21.410,100.295,1.0
21.760,101.782,1.0
22.120,104.050,1.0
22.480,104.296,1.0
22.850,107.712,1.0
23.230,107.492,1.0
23.610,108.333,1.0
21.460,94.598,1.0
21.780,111.119,1.0
22.120,104.050,1.0
22.460,113.329,1.0
22.810,109.650,1.0
23.160,114.252,1.0
23.520,126.209,1.0
23.890,115.121,1.0
24.250,110.511,1.0
22.210,95.735,1.0
22.530,114.634,1.0
22.850,107.712,1.0
23.180,109.575,1.0
23.520,126.209,1.0
23.860,113.766,1.0
24.210,119.158,1.0
24.570,118.282,1.0
24.920,106.943,1.0
22.980,95.205,1.0
23.290,110.872,1.0
23.610,108.333,1.0
23.930,137.798,1.0
24.250,110.511,1.0
24.590,104.793,1.0
24.920,106.943,1.0
25.270,111.770,1.0
25.620,103.097,1.0
14.440,91.021,1.0
14.520,92.008,1.0
14.620,91.798,1.0
14.730,91.927,1.0
14.850,92.136,1.0
14.990,92.487,1.0
15.150,92.017,1.0
15.320,92.557,1.0
15.510,91.954,1.0
15.410,89.092,1.0
15.490,88.131,1.0
15.570,88.103,1.0
15.680,88.030,1.0
15.800,88.215,1.0
15.930,88.640,1.0
16.080,88.711,1.0
16.240,88.813,1.0
16.420,88.289,1.0
16.390,89.774,1.0
16.460,89.584,1.0
16.540,89.911,1.0
16.640,90.110,1.0
16.750,90.660,1.0
16.880,91.426,1.0
17.020,91.042,1.0
17.170,91.990,1.0
