distance,PL,category
19.660,130.185,0.0
21.480,89.758,1.0
25.500,134.756,0.0
1.720,71.274,1.0
4.230,81.058,1.0
6.150,83.660,1.0
8.110,86.359,1.0
10.090,88.284,1.0
15.060,89.928,1.0
18.040,95.774,1.0
5.460,82.688,1.0
7.130,87.350,1.0
9.470,91.742,1.0
9.470,91.742,1.0
11.210,95.296,1.0
13.950,87.806,1.0
7.340,85.066,1.0
8.650,85.390,1.0
10.660,83.870,1.0
12.230,84.785,1.0
16.570,95.743,1.0
19.330,118.870,0.0
10.090,86.753,1.0
14.160,93.765,1.0
16.420,90.131,1.0
13.950,90.610,1.0
15.280,94.410,1.0
16.420,90.141,1.0
19.860,97.607,1.0
22.210,103.345,1.0
19.660,90.589,1.0
20.630,91.182,1.0
21.480,89.642,1.0
24.210,123.391,0.0
26.180,129.393,0.0
19.120,91.022,1.0
5.900,84.084,1.0
4.350,79.799,1.0
12.400,96.291,1.0
10.480,86.225,1.0
12.830,89.093,1.0
10.660,85.123,1.0
15.640,91.310,1.0
13.910,93.356,1.0
16.570,96.046,1.0
19.860,97.860,1.0
18.400,93.092,1.0
21.410,95.988,1.0
15.060,90.050,1.0
17.050,90.225,1.0
19.250,128.341,0.0
22.480,94.899,1.0
21.030,97.060,1.0
24.210,123.711,0.0
24.850,125.962,0.0
19.120,90.928,1.0
15.670,89.859,1.0
17.480,90.181,1.0
14.230,89.488,1.0
15.020,91.982,1.0
15.570,95.409,1.0
17.040,90.264,1.0
17.480,90.035,1.0
20.630,92.485,1.0
21.410,95.988,1.0
18.400,93.092,1.0
11.430,93.355,1.0
13.060,88.305,1.0
13.910,93.356,1.0
12.230,87.928,1.0
15.830,93.786,1.0
19.430,127.969,0.0
21.960,88.635,1.0
13.630,92.851,1.0
13.370,91.053,1.0
23.030,95.508,1.0
19.120,90.227,1.0
19.940,135.928,0.0
20.260,128.355,0.0
20.630,106.088,0.0
23.610,94.459,1.0
23.030,95.331,1.0
13.440,88.581,1.0
13.910,92.927,1.0
20.630,92.614,1.0
14.060,89.568,1.0
16.050,89.474,1.0
17.050,90.225,1.0
8.110,83.543,1.0
9.100,88.714,1.0
11.080,90.377,1.0
12.070,87.986,1.0
18.400,93.176,1.0
4.230,82.657,1.0
7.270,89.785,1.0
8.110,84.214,1.0
19.120,91.022,1.0
18.040,96.924,1.0
19.330,94.874,1.0
22.210,103.059,1.0
12.070,88.203,1.0
13.070,88.152,1.0
13.070,88.310,1.0
13.180,93.334,1.0
19.430,98.456,1.0
19.250,91.579,1.0
19.940,97.877,1.0
13.480,89.878,1.0
14.230,89.505,1.0
15.020,91.973,1.0
12.750,92.820,1.0
12.070,83.345,1.0
13.370,87.953,1.0
13.630,89.858,1.0
15.280,94.574,1.0
17.710,95.763,1.0
6.390,85.918,1.0
6.770,83.957,1.0
7.270,88.412,1.0
7.860,83.891,1.0
8.530,85.698,1.0
9.260,85.449,1.0
10.040,89.382,1.0
3.300,76.951,1.0
3.730,79.722,1.0
6.770,84.118,1.0
7.670,83.398,1.0
8.590,82.624,1.0
2.440,75.848,1.0
2.990,78.370,1.0
3.730,79.630,1.0
4.570,80.244,1.0
5.460,82.740,1.0
6.390,84.218,1.0
7.340,85.319,1.0
8.290,86.388,1.0
9.260,86.258,1.0
10.240,88.107,1.0
11.210,88.186,1.0
12.200,89.281,1.0
19.040,93.425,1.0
16.050,89.483,1.0
17.050,90.401,1.0
4.570,80.156,1.0
5.090,82.608,1.0
5.730,84.931,1.0
6.470,82.699,1.0
8.990,86.026,1.0
9.890,88.542,1.0
10.800,94.148,1.0
11.730,86.057,1.0
12.680,92.418,1.0
7.670,87.908,1.0
8.110,84.525,1.0
6.470,81.588,1.0
5.900,86.712,1.0
7.860,86.835,1.0
14.340,90.631,1.0
21.410,96.062,1.0
17.040,90.279,1.0
17.710,95.889,1.0
2.440,75.930,1.0
3.300,76.941,1.0
5.180,82.351,1.0
14.060,89.454,1.0
11.080,90.587,1.0
9.100,87.941,1.0
13.180,93.177,1.0
5.090,82.067,1.0
9.530,83.653,1.0
11.430,88.467,1.0
5.180,82.928,1.0
7.860,86.835,1.0
10.330,95.556,1.0
12.110,98.522,1.0
13.030,95.269,1.0
6.150,82.390,1.0
10.850,86.620,1.0
11.690,86.016,1.0
12.560,91.701,1.0
14.340,90.505,1.0
7.130,83.485,1.0
9.260,84.809,1.0
9.940,91.895,1.0
11.430,87.204,1.0
13.060,90.704,1.0
15.670,89.948,1.0
14.790,89.287,1.0
18.400,116.586,0.0
14.440,92.895,1.0
13.620,92.669,1.0
11.340,85.703,1.0
13.480,89.785,1.0
12.070,88.256,1.0
15.640,91.194,1.0
14.890,90.703,1.0
14.890,90.839,1.0
16.300,91.227,1.0
16.990,92.557,1.0
16.300,91.346,1.0
14.790,89.408,1.0
19.040,93.526,1.0
20.260,92.612,1.0
22.480,94.776,1.0
24.850,127.715,0.0
25.500,134.785,0.0
7.130,85.253,1.0
8.650,84.969,1.0
12.830,88.471,1.0
13.620,92.737,1.0
14.440,92.872,1.0
26.180,135.993,0.0
26.870,94.204,1.0
15.830,93.660,1.0
19.120,90.940,1.0
21.030,96.733,1.0
21.960,88.570,1.0
23.610,94.378,1.0
8.290,86.264,1.0
9.260,85.180,1.0
10.240,85.382,1.0
11.210,86.026,1.0
12.200,89.100,1.0
8.590,90.013,1.0
9.530,89.374,1.0
10.480,90.369,1.0
11.430,90.486,1.0
12.400,89.225,1.0
8.990,86.108,1.0
9.890,85.660,1.0
10.800,84.738,1.0
11.730,89.677,1.0
12.680,88.708,1.0
9.470,85.026,1.0
10.330,94.804,1.0
11.210,88.862,1.0
12.110,90.274,1.0
13.030,89.529,1.0
10.040,86.794,1.0
10.850,85.702,1.0
11.690,87.387,1.0
12.560,92.046,1.0
13.440,92.276,1.0
16.140,92.862,1.0
16.660,90.723,1.0
17.220,94.331,1.0
17.820,90.617,1.0
18.450,96.301,1.0
17.020,90.867,1.0
17.510,90.341,1.0
18.040,96.636,1.0
18.610,92.419,1.0
19.220,90.788,1.0
17.900,90.271,1.0
18.370,92.109,1.0
18.880,95.573,1.0
19.430,98.727,1.0
20.010,93.933,1.0
18.800,91.953,1.0
19.250,91.506,1.0
19.730,91.939,1.0
20.260,92.562,1.0
20.820,91.877,1.0
19.710,90.976,1.0
20.140,90.557,1.0
