distance,PL,category
19.660,127.126,0.0
21.480,125.785,0.0
25.500,131.116,0.0
1.720,71.247,1.0
4.230,79.873,1.0
6.150,85.662,1.0
8.110,82.996,1.0
10.090,85.574,1.0
15.060,90.002,1.0
18.040,95.777,1.0
5.460,82.694,1.0
7.130,84.105,1.0
9.470,97.060,1.0
9.470,97.060,1.0
11.210,94.736,1.0
13.950,88.291,1.0
7.340,84.972,1.0
8.650,85.469,1.0
10.660,84.048,1.0
12.230,85.008,1.0
16.570,95.270,1.0
19.330,90.716,0.0
10.090,88.769,1.0
14.160,93.413,1.0
16.420,88.109,1.0
13.950,106.709,0.0
15.280,94.066,0.0
16.420,90.489,1.0
19.860,114.848,1.0
22.210,96.220,0.0
19.660,119.554,0.0
20.630,123.245,0.0
21.480,127.917,0.0
24.210,139.907,0.0
26.180,129.627,0.0
19.120,90.619,1.0
5.900,84.713,1.0
4.350,79.858,1.0
12.400,95.930,1.0
10.480,86.377,1.0
12.830,86.454,1.0
10.660,84.954,1.0
15.640,93.540,1.0
13.910,97.310,0.0
16.570,103.457,0.0
19.860,99.134,1.0
18.400,97.877,0.0
21.410,97.831,0.0
15.060,85.233,1.0
17.050,87.239,1.0
19.250,131.963,0.0
22.480,124.351,0.0
21.030,122.295,0.0
24.210,142.692,0.0
24.850,128.354,0.0
19.120,91.221,1.0
15.670,89.668,0.0
17.480,87.900,1.0
14.230,89.820,1.0
15.020,90.462,1.0
15.570,103.818,1.0
17.040,96.821,1.0
17.480,89.102,0.0
20.630,92.644,0.0
21.410,97.831,0.0
18.400,97.877,0.0
11.430,97.514,1.0
13.060,91.730,0.0
13.910,97.310,0.0
12.230,97.929,0.0
15.830,86.518,1.0
19.430,128.462,0.0
21.960,111.923,0.0
13.630,94.651,0.0
13.370,88.609,0.0
23.030,93.551,0.0
19.120,90.240,1.0
19.940,98.932,0.0
20.260,96.764,0.0
20.630,106.356,0.0
23.610,92.812,0.0
23.030,93.451,0.0
13.440,86.505,1.0
13.910,91.510,1.0
20.630,94.670,0.0
14.060,101.404,1.0
16.050,87.013,1.0
17.050,87.239,1.0
8.110,83.501,1.0
9.100,87.942,1.0
11.080,90.586,1.0
12.070,86.653,1.0
18.400,92.190,1.0
4.230,82.613,1.0
7.270,92.286,1.0
8.110,85.030,1.0
19.120,90.619,1.0
18.040,99.360,1.0
19.330,125.176,0.0
22.210,96.259,0.0
12.070,88.525,1.0
13.070,88.247,1.0
13.070,85.690,1.0
13.180,86.962,1.0
19.430,122.307,0.0
19.250,134.583,0.0
19.940,122.977,0.0
13.480,85.655,1.0
14.230,91.434,1.0
15.020,95.072,1.0
12.750,95.778,1.0
12.070,82.310,1.0
13.370,87.985,1.0
13.630,89.202,1.0
15.280,97.979,1.0
17.710,88.209,1.0
6.390,85.547,1.0
6.770,81.838,1.0
7.270,82.879,1.0
7.860,83.763,1.0
8.530,85.760,1.0
9.260,89.460,1.0
10.040,89.090,1.0
3.300,76.904,1.0
3.730,79.735,1.0
6.770,89.293,1.0
7.670,81.720,1.0
8.590,83.817,1.0
2.440,75.897,1.0
2.990,78.348,1.0
3.730,79.663,1.0
4.570,77.624,1.0
5.460,80.042,1.0
6.390,85.045,1.0
7.340,94.676,1.0
8.290,82.883,1.0
9.260,82.858,1.0
10.240,88.606,1.0
11.210,87.814,1.0
12.200,89.231,1.0
19.040,93.450,1.0
16.050,89.485,1.0
17.050,90.401,1.0
4.570,80.267,1.0
5.090,80.715,1.0
5.730,93.267,1.0
6.470,81.343,1.0
8.990,85.014,1.0
9.890,85.349,1.0
10.800,88.935,1.0
11.730,86.269,1.0
12.680,92.523,1.0
7.670,86.515,1.0
8.110,86.833,1.0
6.470,78.703,1.0
5.900,87.713,1.0
7.860,84.092,1.0
