distance,PL,category
20.530,143.841,0.0
22.280,145.112,0.0
26.180,146.065,0.0
6.160,99.964,1.0
7.270,98.358,1.0
8.540,98.985,1.0
10.040,100.414,1.0
11.700,104.421,1.0
16.180,106.768,1.0
18.990,107.828,1.0
8.050,99.088,1.0
9.260,99.332,1.0
11.170,102.432,1.0
11.170,102.432,1.0
12.680,103.120,1.0
15.150,105.111,1.0
9.420,100.144,1.0
10.480,113.838,1.0
12.190,105.478,1.0
13.590,104.064,1.0
17.590,107.002,1.0
20.210,108.004,0.0
11.700,104.460,1.0
15.350,106.598,1.0
17.450,105.004,1.0
15.150,106.630,0.0
16.390,106.449,1.0
17.450,105.051,1.0
20.720,109.084,1.0
22.990,110.158,0.0
20.530,143.841,0.0
21.460,109.072,1.0
22.280,145.112,0.0
24.930,140.304,0.0
26.840,146.355,0.0
20.010,107.536,1.0
8.360,102.058,1.0
7.340,101.966,1.0
13.740,99.870,1.0
12.030,103.880,1.0
14.130,105.617,1.0
12.190,105.164,1.0
16.720,105.043,1.0
15.120,119.696,0.0
17.590,106.507,1.0
20.720,109.082,1.0
19.330,107.825,0.0
22.210,110.088,0.0
16.180,106.858,1.0
18.050,107.157,1.0
20.140,143.857,0.0
23.250,110.018,0.0
21.850,141.674,0.0
24.930,140.304,0.0
25.540,144.630,0.0
20.010,108.331,1.0
16.750,126.218,0.0
18.450,101.820,1.0
15.410,105.513,1.0
16.140,106.424,1.0
16.660,109.121,1.0
18.040,102.997,1.0
18.450,101.918,1.0
21.460,110.182,0.0
22.210,110.088,0.0
19.330,107.825,0.0
12.870,104.108,1.0
14.340,124.787,0.0
15.120,119.696,0.0
13.590,128.399,0.0
16.900,103.995,1.0
20.310,144.325,0.0
22.750,146.520,0.0
14.850,106.437,0.0
14.620,106.274,0.0
23.780,109.308,0.0
20.010,107.536,1.0
20.800,127.917,0.0
21.110,108.542,0.0
21.460,109.083,1.0
24.340,123.885,0.0
23.780,109.308,0.0
14.680,109.908,1.0
15.120,105.209,1.0
21.460,110.184,0.0
15.250,105.630,1.0
17.110,106.750,1.0
18.050,107.157,1.0
10.040,100.358,1.0
10.850,102.064,1.0
12.560,103.169,1.0
13.440,103.988,1.0
19.330,108.435,1.0
7.270,98.347,1.0
9.370,100.481,1.0
10.040,101.259,1.0
20.010,107.536,1.0
18.990,107.852,1.0
20.210,107.905,0.0
22.990,110.158,0.0
13.440,103.852,1.0
14.340,104.410,1.0
14.340,104.837,1.0
14.450,105.180,1.0
20.310,144.325,0.0
20.140,143.857,0.0
20.800,127.909,0.0
14.720,105.785,1.0
15.410,105.514,1.0
16.140,106.395,1.0
14.060,104.369,1.0
13.440,103.598,1.0
14.620,110.316,1.0
14.850,103.359,1.0
16.390,106.157,1.0
18.670,107.023,1.0
8.710,102.953,1.0
8.990,102.999,1.0
9.370,100.467,1.0
9.840,101.609,1.0
10.380,101.719,1.0
10.990,103.339,1.0
11.650,104.547,1.0
6.780,98.209,1.0
6.990,101.080,1.0
8.990,101.708,1.0
9.690,101.529,1.0
10.430,104.361,1.0
6.400,100.621,1.0
6.630,99.666,1.0
6.990,101.080,1.0
7.480,100.091,1.0
8.050,99.103,1.0
8.710,102.939,1.0
9.420,99.993,1.0
10.190,101.379,1.0
10.990,104.684,1.0
11.820,102.996,1.0
12.680,102.986,1.0
13.550,104.680,1.0
19.940,108.025,1.0
17.110,107.026,1.0
18.050,107.187,1.0
7.480,100.058,1.0
7.800,99.386,1.0
8.240,100.045,1.0
8.760,102.568,1.0
10.760,102.242,1.0
11.520,101.832,1.0
12.320,105.493,1.0
13.140,105.938,1.0
13.990,115.107,1.0
9.690,102.252,1.0
10.040,96.762,1.0
8.760,103.855,1.0
8.360,101.979,1.0
9.840,102.083,1.0
15.510,106.496,0.0
22.210,110.088,0.0
18.040,102.998,1.0
18.670,107.024,1.0
6.400,100.621,1.0
6.780,98.209,1.0
7.870,98.310,1.0
15.250,105.947,1.0
12.560,103.113,1.0
10.850,102.071,1.0
14.450,105.959,1.0
7.800,99.908,1.0
11.210,103.047,1.0
12.870,103.556,1.0
7.870,98.314,1.0
9.840,102.083,1.0
11.900,102.165,1.0
13.480,105.379,1.0
14.310,102.651,1.0
8.540,98.992,1.0
12.360,104.117,1.0
13.100,103.152,1.0
13.880,105.130,1.0
15.510,100.621,1.0
9.260,103.251,1.0
10.990,110.772,1.0
11.560,103.144,1.0
12.870,103.844,1.0
14.340,104.472,1.0
16.750,106.731,1.0
15.920,106.010,1.0
19.330,107.765,0.0
15.610,105.554,1.0
14.850,106.984,1.0
12.790,103.313,1.0
14.720,105.786,1.0
13.440,103.784,1.0
16.720,105.042,1.0
16.020,107.125,1.0
16.020,107.126,1.0
17.340,118.252,1.0
17.990,98.246,1.0
17.340,118.248,1.0
15.920,122.603,0.0
19.940,108.025,1.0
21.110,108.989,0.0
23.250,110.018,0.0
25.540,144.630,0.0
26.180,146.065,0.0
9.260,103.166,1.0
10.480,103.913,1.0
14.130,105.623,1.0
14.850,106.036,1.0
15.610,105.170,1.0
26.840,146.355,0.0
27.520,127.383,0.0
16.900,104.241,1.0
20.010,108.331,1.0
21.850,141.674,0.0
22.750,146.520,0.0
24.340,123.883,0.0
19.980,144.584,0.0
20.190,144.417,0.0
22.440,144.696,0.0
8.310,98.670,1.0
9.160,100.290,1.0
10.190,103.849,1.0
11.480,104.822,1.0
12.960,103.094,1.0
17.110,106.987,1.0
19.790,106.822,1.0
6.540,101.114,1.0
7.980,99.722,1.0
10.130,100.867,1.0
10.130,100.867,1.0
11.770,103.986,1.0
14.400,99.784,1.0
6.330,97.917,1.0
7.810,102.163,1.0
10.000,100.362,1.0
11.660,104.124,1.0
16.150,105.985,1.0
18.970,107.859,1.0
6.940,98.842,1.0
12.120,105.466,1.0
14.690,101.232,1.0
10.050,101.453,0.0
11.830,103.359,1.0
13.270,106.915,1.0
17.350,106.580,1.0
20.000,108.860,0.0
14.600,140.111,0.0
15.880,106.055,1.0
16.970,140.321,0.0
20.320,108.312,1.0
22.630,142.200,0.0
13.860,105.242,1.0
8.620,102.078,1.0
7.640,97.812,1.0
13.900,100.814,1.0
12.210,102.806,1.0
11.730,103.636,1.0
9.310,100.914,1.0
12.820,104.059,1.0
