distance,PL,category
5.190,82.206,1.0
6.470,82.449,1.0
7.870,86.130,1.0
9.480,86.295,1.0
11.220,89.620,1.0
15.830,92.213,1.0
18.700,93.320,1.0
5.310,80.609,1.0
6.790,89.339,1.0
8.250,85.009,1.0
9.900,87.925,1.0
11.660,90.427,1.0
16.310,91.545,1.0
19.180,94.150,1.0
8.820,85.834,1.0
9.940,90.227,0.0
11.730,88.235,1.0
13.180,90.573,0.0
17.280,99.777,1.0
19.940,94.665,0.0
8.950,87.160,0.0
10.200,89.993,0.0
12.080,89.842,1.0
13.560,88.453,0.0
17.710,92.239,1.0
20.390,94.728,0.0
14.790,90.321,0.0
16.050,91.929,1.0
17.130,90.645,0.0
20.460,101.326,1.0
22.750,105.487,0.0
23.140,93.774,0.0
20.260,124.661,0.0
21.200,95.933,1.0
22.030,130.049,0.0
26.630,125.063,0.0
19.740,94.511,1.0
20.390,106.585,0.0
21.390,108.653,0.0
22.260,138.817,0.0
25.010,127.360,0.0
26.970,119.687,0.0
19.790,124.648,0.0
14.480,88.084,0.0
14.240,89.841,0.0
23.540,89.752,0.0
20.840,94.312,0.0
14.750,91.141,0.0
23.820,117.904,0.0
15.160,92.078,0.0
19.740,94.511,1.0
18.700,93.320,1.0
19.940,94.665,0.0
22.750,105.487,0.0
13.030,89.383,1.0
13.950,90.279,1.0
20.040,123.770,0.0
19.860,124.299,0.0
19.790,124.648,0.0
18.730,94.766,1.0
20.120,91.272,1.0
23.040,119.946,0.0
13.490,90.934,1.0
14.420,90.482,1.0
20.140,122.856,0.0
19.940,123.743,0.0
20.530,100.272,0.0
19.660,93.838,1.0
16.780,92.518,1.0
17.740,93.059,1.0
20.680,94.849,0.0
17.260,92.706,1.0
18.220,93.201,1.0
9.100,89.402,0.0
9.480,88.178,0.0
5.470,85.460,1.0
5.910,84.447,1.0
7.130,82.898,1.0
14.890,90.256,1.0
12.110,90.333,1.0
10.330,91.298,1.0
8.650,85.229,1.0
10.480,87.028,0.0
11.080,100.133,0.0
12.440,89.193,1.0
13.950,92.802,0.0
16.420,107.178,0.0
15.580,93.062,0.0
19.040,94.824,0.0
9.280,89.465,0.0
9.700,87.971,0.0
5.670,85.807,1.0
6.180,84.641,1.0
7.490,84.056,1.0
15.360,91.461,1.0
12.570,89.565,1.0
10.770,89.100,1.0
8.720,92.245,1.0
10.770,83.875,0.0
11.400,95.709,1.0
12.800,91.662,0.0
14.350,96.414,0.0
16.850,110.229,0.0
16.000,96.835,0.0
19.490,93.379,0.0
19.660,93.838,1.0
20.840,94.312,0.0
23.010,96.076,0.0
25.320,123.617,0.0
25.970,124.188,0.0
8.650,85.229,1.0
19.690,95.932,1.0
21.020,91.515,1.0
23.270,96.157,0.0
25.640,126.289,0.0
26.300,125.795,0.0
9.060,86.552,1.0
26.630,125.063,0.0
27.320,119.559,0.0
21.600,129.000,0.0
22.500,115.617,0.0
24.110,114.921,0.0
5.470,85.460,1.0
5.910,84.447,1.0
6.470,82.449,1.0
7.130,82.898,1.0
7.870,86.130,1.0
9.480,86.295,1.0
10.330,91.298,1.0
11.220,89.620,1.0
12.110,90.333,1.0
13.030,89.383,1.0
5.670,85.807,1.0
6.180,84.641,1.0
6.790,89.339,1.0
7.490,84.056,1.0
8.250,85.009,1.0
9.900,87.925,1.0
10.770,89.100,1.0
11.660,90.427,1.0
12.570,89.565,1.0
13.490,90.934,1.0
5.310,80.609,1.0
13.950,90.279,1.0
14.890,90.256,1.0
15.830,92.213,1.0
16.780,92.518,1.0
17.740,93.059,1.0
14.420,90.482,1.0
15.360,91.461,1.0
16.310,91.545,1.0
17.260,92.706,1.0
18.220,93.201,1.0
8.820,85.834,1.0
9.100,89.402,0.0
9.480,88.178,0.0
9.940,90.227,0.0
10.480,87.028,0.0
11.730,88.235,1.0
12.440,89.193,1.0
13.180,90.573,0.0
13.950,92.802,0.0
14.750,91.141,0.0
15.580,93.062,0.0
16.420,107.178,0.0
17.280,99.777,1.0
18.150,104.390,1.0
19.040,94.824,0.0
8.950,87.160,0.0
9.280,89.465,0.0
9.700,87.971,0.0
10.200,89.993,0.0
10.770,83.875,0.0
12.080,89.842,1.0
12.800,91.662,0.0
13.560,88.453,0.0
14.350,96.414,0.0
15.160,92.078,0.0
16.000,96.835,0.0
16.850,110.229,0.0
17.710,92.239,1.0
18.600,95.041,0.0
19.490,93.379,0.0
8.720,92.245,1.0
11.400,95.709,1.0
20.390,94.728,0.0
9.130,86.506,1.0
9.340,88.289,1.0
9.660,92.290,1.0
10.060,94.757,1.0
10.550,85.719,1.0
11.100,97.504,1.0
11.710,89.400,1.0
12.380,90.058,1.0
13.080,84.816,1.0
13.830,89.304,1.0
14.600,87.669,1.0
15.400,95.979,1.0
16.220,96.933,1.0
17.060,99.731,1.0
17.920,97.716,1.0
18.790,96.656,1.0
19.670,87.825,1.0
20.570,99.053,1.0
9.220,85.148,1.0
9.490,84.422,1.0
9.850,92.812,1.0
10.300,87.845,1.0
10.820,94.723,1.0
12.040,89.554,1.0
12.720,84.955,1.0
13.450,89.105,1.0
14.210,88.934,1.0
15.000,90.717,1.0
16.640,98.994,1.0
17.490,92.244,1.0
18.350,104.103,1.0
19.230,91.472,1.0
20.120,91.272,1.0
8.330,86.099,1.0
8.560,87.876,0.0
8.910,89.752,0.0
9.340,87.830,0.0
9.860,91.720,0.0
10.450,84.864,0.0
11.100,97.504,1.0
11.800,88.914,1.0
12.540,115.225,0.0
13.310,91.690,0.0
14.110,87.415,0.0
14.940,88.289,0.0
15.780,91.346,0.0
16.650,104.176,0.0
17.520,110.389,0.0
18.410,104.688,0.0
19.310,93.855,0.0
20.220,93.860,0.0
8.430,85.133,1.0
8.720,87.976,0.0
9.110,88.325,0.0
9.590,89.207,0.0
10.150,87.878,0.0
11.440,89.323,1.0
12.160,115.579,0.0
12.920,91.976,0.0
13.710,86.550,0.0
14.520,89.213,0.0
16.210,91.930,0.0
17.080,95.831,1.0
17.970,113.624,0.0
18.860,94.812,0.0
19.770,93.930,0.0
13.540,88.547,1.0
13.680,91.262,0.0
13.900,94.017,0.0
14.180,87.879,0.0
14.530,87.503,0.0
14.940,88.289,0.0
15.400,95.979,1.0
15.910,117.403,0.0
16.460,100.021,0.0
17.060,91.019,0.0
17.690,90.199,0.0
18.360,87.931,0.0
19.050,110.715,0.0
19.770,107.565,0.0
20.520,121.060,0.0
21.280,95.853,0.0
22.070,109.531,0.0
22.870,98.030,0.0
13.600,89.347,1.0
13.780,98.310,0.0
14.030,88.730,0.0
14.350,100.481,0.0
14.730,93.246,0.0
15.650,90.999,1.0
16.180,93.804,0.0
16.760,101.523,0.0
17.370,88.340,0.0
18.020,89.843,0.0
19.410,121.830,0.0
20.140,121.605,0.0
20.900,94.590,0.0
21.670,123.187,0.0
22.460,101.708,0.0
14.460,88.275,1.0
14.600,116.033,0.0
14.800,115.717,0.0
15.070,110.885,0.0
15.400,106.526,0.0
15.780,91.346,0.0
16.220,96.933,1.0
16.710,86.470,1.0
17.230,92.975,0.0
17.810,99.769,0.0
18.410,96.362,0.0
19.050,110.715,0.0
19.720,108.173,0.0
20.420,112.493,0.0
21.140,88.964,1.0
21.880,95.042,0.0
22.650,117.079,0.0
23.430,118.083,0.0
14.520,89.049,1.0
14.690,122.119,0.0
14.930,112.916,0.0
15.230,116.181,0.0
15.580,99.422,0.0
16.460,92.115,1.0
16.960,98.176,0.0
17.520,114.543,0.0
18.100,105.276,0.0
18.730,95.290,0.0
20.070,113.238,0.0
20.780,91.376,1.0
21.510,94.842,0.0
22.260,125.072,0.0
23.040,119.946,0.0
5.430,81.016,1.0
5.780,86.546,1.0
6.280,84.016,1.0
6.880,79.619,1.0
7.570,83.086,1.0
8.330,86.099,1.0
9.130,86.506,1.0
9.960,87.556,1.0
10.830,89.064,1.0
11.720,88.699,1.0
12.620,88.392,1.0
13.540,88.547,1.0
14.460,88.275,1.0
15.400,88.753,1.0
16.350,92.390,1.0
17.300,92.382,1.0
18.250,93.333,1.0
19.210,91.203,1.0
5.580,81.491,1.0
6.010,82.880,1.0
6.570,84.406,1.0
7.220,87.255,1.0
7.940,83.631,1.0
9.540,86.650,1.0
10.390,88.983,1.0
11.270,93.521,1.0
12.170,86.443,1.0
13.080,90.126,1.0
14.930,88.508,1.0
15.870,97.787,1.0
16.820,91.710,1.0
17.770,90.759,1.0
18.730,94.766,1.0
19.210,91.203,1.0
19.320,123.411,0.0
19.470,124.800,0.0
19.670,124.580,0.0
19.930,124.316,0.0
20.220,93.860,0.0
20.570,99.053,1.0
20.950,119.864,0.0
21.380,125.841,0.0
21.840,124.525,0.0
22.340,110.089,0.0
22.870,98.030,0.0
23.430,118.083,0.0
24.630,125.806,0.0
25.270,125.852,0.0
25.940,125.819,0.0
26.620,119.983,0.0
19.260,92.422,1.0
19.390,125.019,0.0
19.570,125.012,0.0
19.790,124.439,0.0
20.070,99.755,0.0
20.750,93.618,1.0
21.160,123.478,0.0
21.600,123.310,0.0
22.080,122.685,0.0
22.600,95.195,0.0
23.720,115.414,0.0
24.320,125.749,0.0
24.950,124.813,0.0
25.600,125.997,0.0
26.280,131.484,0.0
14.060,90.278,1.0
23.140,93.774,0.0
9.060,86.552,1.0
19.180,94.150,1.0
5.580,81.491,1.0
6.010,82.880,1.0
6.570,84.406,1.0
7.220,87.255,1.0
7.940,83.631,1.0
5.780,86.546,1.0
6.280,84.016,1.0
6.880,79.619,1.0
7.570,83.086,1.0
8.330,86.099,1.0
8.430,85.133,1.0
8.720,87.976,0.0
9.110,88.325,0.0
9.590,89.207,0.0
10.150,87.878,0.0
8.560,87.876,0.0
8.910,89.752,0.0
9.340,87.830,0.0
9.860,91.720,0.0
10.450,84.864,0.0
9.220,85.148,1.0
9.490,84.422,1.0
9.850,92.812,1.0
10.300,87.845,1.0
10.820,94.723,1.0
9.340,88.289,1.0
9.660,92.290,1.0
10.060,94.757,1.0
10.550,85.719,1.0
11.100,97.504,1.0
13.600,89.347,1.0
13.780,98.310,0.0
14.030,88.730,0.0
14.350,100.481,0.0
14.730,93.246,0.0
13.680,91.262,0.0
13.900,94.017,0.0
14.180,87.879,0.0
14.530,87.503,0.0
14.940,88.289,0.0
19.260,92.422,1.0
19.390,125.019,0.0
19.570,125.012,0.0
19.790,124.439,0.0
20.070,99.755,0.0
19.320,123.411,0.0
19.470,124.800,0.0
19.670,124.580,0.0
19.930,124.316,0.0
20.220,93.860,0.0
14.520,89.049,1.0
14.690,122.119,0.0
14.930,112.916,0.0
15.230,116.181,0.0
15.580,99.422,0.0
14.600,116.033,0.0
14.800,115.717,0.0
15.070,110.885,0.0
15.400,106.526,0.0
14.060,90.278,1.0
14.240,89.841,0.0
14.480,88.084,0.0
14.790,90.321,0.0
15.150,86.150,0.0
16.050,91.929,1.0
16.570,93.381,0.0
17.130,90.645,0.0
17.730,95.563,0.0
18.370,87.077,0.0
19.040,99.844,0.0
19.730,114.142,0.0
20.460,101.326,1.0
21.200,94.679,0.0
21.960,94.717,0.0
19.740,94.511,1.0
