distance,PL,category
19.740,141.557,0.0
21.550,142.093,0.0
25.560,144.963,0.0
2.440,91.304,1.0
4.570,93.187,1.0
6.390,97.411,1.0
8.300,106.827,1.0
10.240,99.799,1.0
15.160,107.006,1.0
18.130,110.004,1.0
5.730,97.663,1.0
7.330,94.244,1.0
9.630,102.710,1.0
9.630,102.710,1.0
11.340,97.685,1.0
14.060,99.163,1.0
7.540,101.988,1.0
8.820,98.584,1.0
10.800,99.893,1.0
12.360,107.326,1.0
16.660,102.189,1.0
19.400,107.106,0.0
10.240,102.092,1.0
14.270,104.717,1.0
16.510,99.560,1.0
14.060,125.567,0.0
15.380,105.920,0.0
16.510,103.222,1.0
19.940,106.429,1.0
22.280,107.003,0.0
19.740,139.464,0.0
20.700,127.306,0.0
21.550,142.205,0.0
24.280,160.864,0.0
26.230,146.221,0.0
19.200,111.910,1.0
6.150,105.221,1.0
4.680,94.014,1.0
12.520,99.523,1.0
10.620,102.629,1.0
12.950,103.055,1.0
10.800,99.149,1.0
15.730,102.594,1.0
14.020,113.478,0.0
16.660,111.693,0.0
19.940,108.059,1.0
18.480,112.024,0.0
21.480,108.174,0.0
15.160,100.582,1.0
17.140,101.500,1.0
19.330,146.036,0.0
22.550,147.002,0.0
21.110,154.020,0.0
24.280,155.461,0.0
24.910,148.560,0.0
19.200,110.347,1.0
15.770,115.313,0.0
17.570,100.915,1.0
14.340,103.725,1.0
15.120,99.051,1.0
15.670,102.989,1.0
17.130,100.422,1.0
17.570,113.009,0.0
20.700,112.750,0.0
21.480,108.174,0.0
18.480,112.024,0.0
11.560,99.240,1.0
13.180,110.956,0.0
14.020,113.478,0.0
12.360,111.673,0.0
15.920,105.667,1.0
19.510,140.417,0.0
22.030,131.481,0.0
13.740,124.128,0.0
13.480,116.424,0.0
23.090,107.870,0.0
19.200,111.727,1.0
20.010,106.578,0.0
20.330,106.190,0.0
20.700,126.298,0.0
23.670,110.635,0.0
23.090,107.830,0.0
13.550,96.758,1.0
14.020,102.910,1.0
20.700,109.159,0.0
14.170,101.614,1.0
16.140,101.357,1.0
17.140,101.500,1.0
8.300,102.102,1.0
9.260,101.347,1.0
11.210,103.244,1.0
12.200,103.575,1.0
18.480,109.010,1.0
4.570,94.958,1.0
7.470,94.100,1.0
8.290,100.185,1.0
19.200,111.910,1.0
18.130,111.843,1.0
19.400,136.491,0.0
22.280,107.017,0.0
12.200,101.788,1.0
13.180,103.526,1.0
13.180,97.536,1.0
13.290,103.715,1.0
19.510,140.265,0.0
19.330,146.148,0.0
20.010,137.093,0.0
13.590,112.497,1.0
14.340,109.403,1.0
15.120,99.813,1.0
12.870,106.313,1.0
12.190,99.754,1.0
13.480,102.945,1.0
13.740,114.273,1.0
15.380,101.300,1.0
17.790,106.400,1.0
6.620,104.372,1.0
6.990,97.281,1.0
7.470,95.850,1.0
8.050,111.423,1.0
8.700,96.810,1.0
9.420,97.158,1.0
10.180,97.174,1.0
3.730,92.833,1.0
4.110,92.820,1.0
6.990,95.918,1.0
7.860,108.378,1.0
8.760,97.649,1.0
2.990,89.838,1.0
3.450,92.724,1.0
4.110,92.932,1.0
4.890,98.034,1.0
5.730,101.231,1.0
6.620,101.103,1.0
7.540,97.705,1.0
8.470,106.004,1.0
9.420,110.628,1.0
10.380,102.090,1.0
11.350,100.289,1.0
12.320,101.959,1.0
19.120,107.567,1.0
16.140,104.484,1.0
17.140,105.060,1.0
4.890,94.866,1.0
5.370,96.853,1.0
5.990,102.791,1.0
6.690,95.878,1.0
9.150,97.032,1.0
10.040,102.321,1.0
10.940,104.163,1.0
11.860,98.150,1.0
12.790,98.249,1.0
7.860,97.877,1.0
8.290,97.553,1.0
6.690,104.603,1.0
6.150,94.823,1.0
8.050,99.324,1.0
14.440,112.376,0.0
21.480,108.149,0.0
17.130,103.357,1.0
17.790,104.530,1.0
2.990,89.831,1.0
3.730,92.786,1.0
5.470,93.475,1.0
14.170,103.924,1.0
