distance,PL,category
6.160,81.810,1.0
7.270,83.138,1.0
8.540,89.972,1.0
10.040,88.584,1.0
11.700,89.464,1.0
16.180,91.975,1.0
18.990,93.445,1.0
6.260,84.600,1.0
7.560,90.344,1.0
8.890,83.689,1.0
10.440,88.667,1.0
12.130,88.940,1.0
16.640,92.146,1.0
19.460,94.145,1.0
9.420,87.538,1.0
10.480,88.776,0.0
12.190,89.642,1.0
13.590,93.765,0.0
17.590,92.535,1.0
20.210,92.959,0.0
9.540,91.349,0.0
10.720,90.528,0.0
12.530,89.791,1.0
13.960,91.222,0.0
18.020,94.710,1.0
20.660,93.376,0.0
15.150,92.972,0.0
16.390,91.613,1.0
17.450,93.234,0.0
20.720,95.446,1.0
22.990,95.815,0.0
23.380,94.935,0.0
20.530,122.271,0.0
21.460,94.682,1.0
22.280,123.128,0.0
24.930,119.217,0.0
26.840,124.876,0.0
20.010,94.648,1.0
20.660,120.894,0.0
21.650,107.789,0.0
22.510,124.376,0.0
25.230,125.230,0.0
27.180,125.009,0.0
20.070,126.654,0.0
14.850,92.403,0.0
14.620,91.847,0.0
23.780,96.721,0.0
21.110,94.653,0.0
15.120,89.806,0.0
24.050,113.805,0.0
15.520,92.738,0.0
20.010,94.648,1.0
18.990,93.445,1.0
20.210,92.959,0.0
22.990,95.815,0.0
13.440,90.252,1.0
14.340,89.477,1.0
20.310,123.571,0.0
20.140,124.017,0.0
20.070,126.654,0.0
19.020,94.252,1.0
20.390,89.853,1.0
23.270,95.844,0.0
13.890,91.059,1.0
14.800,92.237,1.0
20.420,123.910,0.0
20.220,122.979,0.0
20.800,123.285,0.0
19.940,94.739,1.0
17.110,92.863,1.0
18.050,93.079,1.0
20.950,97.074,0.0
17.580,92.854,1.0
18.520,93.340,1.0
9.690,90.112,0.0
10.040,89.129,0.0
6.400,82.168,1.0
6.780,84.165,1.0
7.870,87.000,1.0
15.250,92.241,1.0
12.560,89.075,1.0
10.850,88.263,1.0
9.260,85.398,1.0
10.990,88.011,0.0
11.560,105.792,0.0
12.870,89.645,1.0
14.340,94.323,0.0
16.750,107.008,0.0
15.920,94.249,0.0
19.330,92.574,0.0
9.850,88.288,0.0
10.250,88.566,0.0
6.570,82.731,1.0
7.010,90.706,1.0
8.190,86.291,1.0
15.710,93.239,1.0
13.000,89.712,1.0
11.270,87.620,1.0
9.330,87.614,1.0
11.270,87.783,0.0
11.870,89.213,1.0
13.230,92.414,0.0
14.730,89.220,0.0
17.170,95.192,1.0
16.340,97.162,0.0
19.770,95.298,0.0
19.940,94.739,1.0
21.110,94.653,0.0
23.250,96.732,0.0
25.540,124.102,0.0
26.180,125.285,0.0
9.260,85.398,1.0
19.970,94.640,1.0
21.280,88.963,1.0
23.510,94.886,0.0
25.860,124.034,0.0
26.510,125.144,0.0
9.650,85.888,1.0
26.840,124.876,0.0
27.520,118.916,0.0
21.850,121.011,0.0
22.750,122.253,0.0
24.340,111.154,0.0
6.400,82.168,1.0
6.780,84.165,1.0
7.270,83.138,1.0
7.870,87.000,1.0
8.540,89.972,1.0
10.040,88.584,1.0
10.850,88.263,1.0
11.700,89.464,1.0
12.560,89.075,1.0
13.440,90.252,1.0
6.570,82.731,1.0
7.010,90.706,1.0
7.560,90.344,1.0
8.190,86.291,1.0
8.890,83.689,1.0
10.440,88.667,1.0
11.270,87.620,1.0
12.130,88.940,1.0
13.000,89.712,1.0
13.890,91.059,1.0
6.260,84.600,1.0
14.340,89.477,1.0
15.250,92.241,1.0
16.180,91.975,1.0
17.110,92.863,1.0
18.050,93.079,1.0
14.800,92.237,1.0
15.710,93.239,1.0
16.640,92.146,1.0
17.580,92.854,1.0
18.520,93.340,1.0
9.420,87.538,1.0
9.690,90.112,0.0
10.040,89.129,0.0
10.480,88.776,0.0
10.990,88.011,0.0
12.190,89.642,1.0
12.870,89.645,1.0
13.590,93.765,0.0
14.340,94.323,0.0
15.120,89.806,0.0
15.920,94.249,0.0
16.750,107.008,0.0
17.590,92.535,1.0
18.450,89.099,1.0
19.330,92.574,0.0
9.540,91.349,0.0
9.850,88.288,0.0
10.250,88.566,0.0
10.720,90.528,0.0
11.270,87.783,0.0
12.530,89.791,1.0
13.230,92.414,0.0
13.960,91.222,0.0
14.730,89.220,0.0
15.520,92.738,0.0
16.340,97.162,0.0
17.170,95.192,1.0
18.020,94.710,1.0
18.890,91.774,0.0
19.770,95.298,0.0
9.330,87.614,1.0
11.870,89.213,1.0
20.660,93.376,0.0
9.710,88.106,1.0
9.910,93.673,1.0
10.210,92.841,1.0
10.600,87.522,1.0
11.060,96.462,1.0
11.590,88.504,1.0
12.170,89.782,1.0
12.810,90.041,1.0
13.500,96.693,1.0
14.220,87.646,1.0
14.970,99.184,1.0
15.750,95.179,1.0
16.560,93.068,1.0
17.380,93.523,1.0
18.220,88.083,1.0
19.080,94.666,1.0
19.950,90.372,1.0
20.830,115.174,1.0
