distance,PL,category
20.260,144.784,0.0
22.030,144.727,0.0
25.970,146.048,0.0
5.190,97.084,1.0
6.470,96.798,1.0
7.870,98.163,1.0
9.480,101.966,1.0
11.220,103.416,1.0
15.830,106.134,1.0
18.700,107.924,1.0
7.340,97.741,1.0
8.650,99.482,1.0
10.660,103.110,1.0
10.660,103.110,1.0
12.240,103.474,1.0
14.790,100.342,1.0
8.820,99.223,1.0
9.940,95.994,1.0
11.730,104.804,1.0
13.180,104.661,1.0
17.280,108.298,1.0
19.940,109.130,0.0
11.220,103.340,1.0
14.990,105.880,1.0
17.130,110.408,1.0
14.790,114.681,0.0
16.050,105.250,1.0
17.130,111.195,1.0
20.460,108.043,1.0
22.750,106.675,0.0
20.260,144.768,0.0
21.200,110.757,1.0
22.030,144.861,0.0
24.700,172.429,0.0
26.630,146.506,0.0
19.740,108.248,1.0
7.670,98.057,1.0
6.550,98.290,1.0
13.330,105.095,1.0
11.560,103.287,1.0
13.730,105.437,1.0
11.730,104.900,1.0
16.390,111.410,1.0
14.750,119.704,0.0
17.280,115.268,1.0
20.460,108.042,1.0
19.040,108.013,0.0
21.960,108.291,0.0
15.830,106.449,1.0
17.740,106.898,1.0
19.860,144.502,0.0
23.010,110.459,0.0
21.600,141.529,0.0
24.700,172.429,0.0
25.320,144.013,0.0
19.730,108.774,1.0
16.420,122.592,0.0
18.150,113.796,1.0
15.050,105.316,1.0
15.800,105.339,1.0
16.330,99.000,1.0
17.730,114.358,1.0
18.150,114.083,1.0
21.200,108.411,0.0
21.960,108.291,0.0
19.040,108.013,0.0
12.440,102.251,1.0
13.950,105.750,0.0
14.750,119.704,0.0
13.180,132.988,0.0
16.570,102.389,1.0
20.040,144.936,0.0
22.500,133.333,0.0
14.480,101.409,0.0
14.240,104.785,0.0
23.540,108.546,0.0
19.740,108.248,1.0
20.530,117.304,0.0
20.840,108.158,0.0
21.200,109.174,1.0
24.110,125.637,0.0
23.540,108.546,0.0
14.310,109.596,1.0
14.750,104.296,1.0
21.200,108.414,0.0
14.890,105.789,1.0
16.780,106.821,1.0
17.740,106.898,1.0
9.480,101.921,1.0
10.330,103.264,1.0
12.110,102.788,1.0
13.030,104.899,1.0
19.040,107.936,1.0
6.470,96.818,1.0
8.760,101.474,1.0
9.480,103.012,1.0
19.740,108.248,1.0
18.700,107.421,1.0
19.940,108.799,0.0
22.750,106.675,0.0
13.030,104.953,1.0
13.950,104.433,1.0
13.950,104.015,1.0
14.060,104.782,1.0
20.040,144.936,0.0
19.860,144.502,0.0
20.530,115.154,0.0
14.340,105.188,1.0
15.050,105.317,1.0
15.800,105.414,1.0
13.660,104.530,1.0
13.030,103.889,1.0
14.240,101.711,1.0
14.480,105.067,1.0
16.050,104.931,1.0
18.370,101.129,1.0
8.050,99.187,1.0
8.360,98.639,1.0
8.760,106.551,1.0
9.260,98.413,1.0
9.840,103.055,1.0
10.480,99.176,1.0
11.170,102.534,1.0
5.910,99.168,1.0
6.160,99.093,1.0
8.360,99.929,1.0
9.100,99.305,1.0
9.890,100.432,1.0
5.470,98.247,1.0
5.740,95.248,1.0
6.160,99.093,1.0
6.700,97.140,1.0
7.340,97.737,1.0
8.050,99.064,1.0
8.820,99.298,1.0
9.630,100.637,1.0
10.480,102.506,1.0
11.350,103.980,1.0
12.240,103.675,1.0
13.140,105.106,1.0
19.660,108.816,1.0
16.780,106.711,1.0
17.740,107.158,1.0
6.700,97.114,1.0
7.060,97.370,1.0
7.540,97.953,1.0
8.110,101.020,1.0
10.240,100.582,1.0
11.030,102.604,1.0
11.860,103.716,1.0
12.720,103.736,1.0
13.590,100.106,1.0
9.100,100.376,1.0
9.480,98.777,1.0
8.110,101.960,1.0
7.670,98.544,1.0
9.260,100.343,1.0
15.150,109.523,0.0
21.960,108.291,0.0
17.730,114.364,1.0
18.370,101.130,1.0
5.470,98.247,1.0
5.910,99.168,1.0
7.130,99.515,1.0
14.890,105.575,1.0
12.110,102.913,1.0
10.330,103.417,1.0
14.060,104.778,1.0
7.060,97.063,1.0
10.710,101.101,1.0
12.440,98.968,1.0
7.130,99.506,1.0
9.260,100.343,1.0
11.430,104.544,1.0
13.060,100.024,1.0
13.920,100.802,1.0
7.870,98.192,1.0
11.900,103.645,1.0
12.680,105.156,1.0
13.480,106.052,1.0
15.150,110.348,1.0
8.650,99.981,1.0
10.480,106.095,1.0
11.080,102.357,1.0
12.440,102.910,1.0
13.950,99.800,1.0
16.420,107.035,1.0
15.580,104.478,1.0
19.040,108.241,0.0
15.250,106.959,1.0
14.480,105.428,1.0
12.360,104.054,1.0
14.340,105.184,1.0
13.030,104.753,1.0
16.390,110.608,1.0
15.670,102.936,1.0
15.670,102.523,1.0
17.020,99.053,1.0
17.680,99.707,1.0
17.020,99.052,1.0
15.580,120.021,0.0
19.660,108.816,1.0
20.840,108.734,0.0
23.010,110.459,0.0
25.320,144.013,0.0
25.970,146.048,0.0
8.650,99.918,1.0
9.940,100.923,1.0
13.730,104.537,1.0
14.480,105.202,1.0
15.250,106.447,1.0
26.630,146.506,0.0
27.320,125.318,0.0
16.570,102.580,1.0
19.730,108.774,1.0
21.600,141.653,0.0
22.500,133.355,0.0
24.110,125.623,0.0
19.710,144.409,0.0
19.920,144.253,0.0
22.190,145.108,0.0
7.620,101.914,1.0
8.540,99.546,1.0
9.640,102.953,1.0
10.990,101.325,1.0
12.520,102.855,1.0
16.780,106.738,1.0
19.510,127.757,0.0
5.630,98.623,1.0
7.260,97.368,1.0
9.570,100.460,1.0
9.570,100.460,1.0
11.290,102.557,1.0
14.020,106.284,1.0
5.390,94.976,1.0
7.070,98.533,1.0
9.430,101.994,1.0
11.180,104.540,1.0
15.810,106.075,1.0
18.680,107.915,1.0
6.090,94.238,1.0
11.660,103.710,1.0
14.310,106.496,1.0
9.490,102.610,0.0
11.360,103.539,1.0
12.850,111.351,1.0
17.030,106.722,1.0
19.720,108.093,0.0
14.220,141.738,0.0
15.530,105.902,1.0
16.650,139.652,0.0
20.050,114.867,1.0
22.380,142.320,0.0
13.460,105.644,1.0
7.960,101.321,1.0
6.880,96.869,1.0
13.500,107.286,1.0
11.760,101.934,1.0
11.250,103.202,1.0
8.700,100.945,1.0
12.380,103.704,1.0
10.120,115.595,0.0
11.980,99.699,1.0
16.230,106.626,0.0
13.450,104.913,0.0
17.340,103.524,0.0
9.770,100.355,1.0
11.530,103.360,1.0
19.980,144.797,0.0
20.350,121.723,0.0
19.780,144.925,0.0
21.330,148.104,0.0
21.750,146.019,0.0
15.740,106.025,1.0
11.300,102.879,1.0
16.760,106.611,1.0
12.300,102.657,1.0
13.200,101.145,1.0
12.830,104.345,1.0
14.580,110.516,1.0
12.690,104.423,0.0
16.760,101.667,0.0
17.340,103.524,0.0
13.450,104.913,0.0
8.910,125.486,0.0
9.630,120.027,0.0
10.120,115.595,0.0
9.220,133.179,0.0
14.110,105.177,1.0
19.820,144.707,0.0
20.110,144.987,0.0
9.010,102.478,0.0
8.610,100.845,0.0
18.600,128.268,0.0
20.180,152.463,0.0
19.650,106.834,1.0
19.640,107.846,1.0
19.680,106.693,1.0
20.960,108.570,1.0
20.640,108.696,0.0
13.010,104.158,1.0
13.000,104.375,1.0
17.910,100.832,1.0
8.940,101.916,1.0
10.640,103.600,1.0
11.530,103.360,1.0
5.270,96.406,1.0
5.610,98.430,1.0
6.690,96.077,1.0
7.380,102.289,1.0
15.290,100.382,1.0
5.750,95.508,1.0
8.240,99.723,1.0
9.000,102.686,1.0
13.460,105.644,1.0
12.430,105.806,1.0
14.230,106.049,0.0
17.950,118.707,0.0
14.170,104.429,1.0
15.030,106.029,1.0
8.130,98.260,1.0
8.320,100.520,1.0
13.900,140.693,0.0
13.650,139.575,0.0
14.600,112.873,0.0
10.820,102.937,1.0
11.160,102.913,1.0
11.590,103.722,1.0
10.550,102.635,1.0
10.370,103.688,1.0
14.390,119.271,1.0
14.170,101.540,1.0
13.980,104.947,1.0
14.910,100.516,1.0
5.420,99.308,1.0
5.860,98.133,1.0
6.430,100.550,1.0
7.090,97.217,1.0
7.830,99.232,1.0
8.620,99.264,1.0
9.450,103.520,1.0
6.280,96.367,1.0
6.510,97.714,1.0
8.620,99.429,1.0
9.340,101.360,1.0
10.110,102.115,1.0
6.910,97.274,1.0
7.120,98.008,1.0
