distance,PL,category
20.040,87.136,0.0
21.830,88.597,0.0
25.790,88.204,0.0
4.240,58.155,1.0
5.740,56.764,1.0
7.270,59.402,1.0
8.990,63.034,1.0
10.810,65.882,1.0
15.550,67.863,1.0
18.460,69.325,1.0
6.700,59.672,1.0
8.110,63.753,1.0
10.230,62.610,1.0
10.230,62.610,1.0
11.860,63.167,1.0
14.480,65.277,1.0
8.300,59.147,1.0
9.470,62.664,1.0
11.340,66.869,1.0
12.830,64.486,1.0
17.020,67.417,1.0
19.710,69.111,0.0
10.810,65.206,1.0
14.680,64.846,1.0
16.870,67.108,1.0
14.480,68.319,0.0
15.770,75.937,1.0
16.870,66.196,1.0
20.230,71.913,1.0
22.550,68.835,0.0
20.040,86.365,0.0
20.990,82.845,1.0
21.830,88.558,0.0
24.520,103.825,0.0
26.460,88.943,0.0
19.510,70.506,1.0
7.060,59.583,1.0
5.820,58.603,1.0
12.990,71.295,1.0
11.170,61.175,1.0
13.400,68.070,1.0
11.340,64.708,1.0
16.110,69.102,1.0
14.440,78.033,0.0
17.020,80.437,0.0
20.230,71.860,1.0
18.800,66.065,0.0
21.760,72.963,0.0
15.550,71.599,1.0
17.480,67.132,1.0
19.640,87.336,0.0
22.810,71.727,0.0
21.390,92.127,0.0
24.520,103.825,0.0
25.150,88.295,0.0
19.510,71.886,1.0
16.140,74.915,0.0
17.900,68.912,1.0
14.750,68.237,1.0
15.510,69.511,1.0
16.050,59.766,1.0
17.480,65.753,1.0
17.900,69.071,1.0
20.990,69.868,0.0
21.760,72.963,0.0
18.800,66.065,0.0
12.070,64.582,1.0
13.620,70.660,0.0
14.440,78.033,0.0
12.830,68.142,0.0
16.300,74.602,1.0
19.810,87.063,0.0
22.300,81.493,0.0
14.170,69.074,0.0
13.920,65.554,0.0
23.350,70.370,0.0
19.510,70.506,1.0
20.310,70.346,0.0
20.630,66.647,0.0
20.990,84.926,1.0
23.920,69.398,0.0
23.350,70.370,0.0
13.990,60.519,1.0
14.440,62.822,1.0
20.990,69.845,0.0
14.580,64.629,1.0
16.510,74.840,1.0
17.480,67.132,1.0
8.990,60.841,1.0
9.890,62.281,1.0
11.740,65.165,1.0
12.680,64.606,1.0
18.800,73.636,1.0
5.740,56.128,1.0
8.230,60.755,1.0
8.990,63.548,1.0
19.510,70.506,1.0
18.460,70.088,1.0
19.710,70.065,0.0
22.550,68.835,0.0
12.680,64.753,1.0
13.630,65.678,1.0
13.630,63.452,1.0
13.740,62.642,1.0
19.810,86.980,0.0
19.640,87.329,0.0
20.310,72.059,0.0
14.020,68.792,1.0
14.750,68.067,1.0
15.510,68.389,1.0
13.330,66.047,1.0
12.680,69.737,1.0
13.920,74.033,1.0
14.170,61.981,1.0
15.770,68.675,1.0
18.120,59.984,1.0
7.470,63.467,1.0
7.800,56.771,1.0
8.230,59.860,1.0
8.760,65.682,1.0
9.370,59.045,1.0
10.040,57.767,1.0
10.760,63.201,1.0
5.090,58.437,1.0
5.380,56.479,1.0
7.800,60.159,1.0
8.590,61.521,1.0
9.420,61.159,1.0
4.580,56.421,1.0
4.890,56.955,1.0
5.380,56.479,1.0
5.990,60.258,1.0
6.700,59.037,1.0
7.470,63.394,1.0
8.300,61.029,1.0
9.150,61.796,1.0
10.040,63.070,1.0
10.940,67.091,1.0
11.860,65.694,1.0
12.800,64.036,1.0
