distance,PL,category
21.200,122.892,0.0
22.900,123.005,0.0
26.710,124.787,0.0
8.120,84.998,1.0
8.990,90.109,1.0
10.040,86.631,1.0
11.350,90.070,1.0
12.840,91.778,1.0
17.020,92.986,1.0
19.710,94.258,1.0
9.640,85.605,1.0
10.670,89.057,1.0
12.360,87.600,1.0
12.360,87.600,1.0
13.740,91.586,1.0
16.050,85.895,1.0
10.810,88.968,1.0
11.740,88.980,1.0
13.290,90.633,1.0
14.580,90.943,1.0
18.370,92.331,1.0
20.890,89.870,1.0
12.840,91.954,1.0
16.240,93.028,1.0
18.240,100.294,1.0
16.050,92.867,0.0
17.220,92.565,1.0
18.240,100.366,1.0
21.390,94.874,1.0
23.590,96.492,0.0
21.200,122.892,0.0
22.100,94.555,1.0
22.900,123.005,0.0
25.480,119.413,0.0
27.350,124.230,0.0
20.700,95.942,1.0
9.890,90.792,1.0
9.050,87.610,1.0
14.720,88.406,1.0
13.140,89.068,1.0
15.090,90.636,1.0
13.290,90.299,1.0
17.540,93.615,1.0
16.020,91.006,1.0
18.370,93.083,1.0
21.390,94.874,1.0
20.040,87.257,1.0
22.830,95.750,0.0
17.020,92.986,1.0
18.810,93.504,1.0
20.820,123.551,0.0
23.840,102.717,0.0
22.480,120.046,0.0
25.480,119.413,0.0
26.080,126.174,0.0
20.700,94.505,1.0
17.570,92.639,1.0
19.200,106.342,1.0
16.300,91.224,1.0
16.990,92.177,1.0
17.480,92.507,1.0
18.800,89.500,1.0
19.200,103.711,1.0
22.100,95.052,0.0
22.830,95.750,0.0
20.040,87.257,1.0
13.920,91.967,1.0
15.290,90.508,1.0
16.020,91.006,1.0
14.580,90.600,1.0
17.710,99.382,1.0
20.990,122.779,0.0
23.350,123.771,0.0
15.770,92.672,0.0
15.550,93.010,0.0
24.360,97.403,0.0
20.700,95.942,1.0
21.460,118.905,0.0
21.760,87.643,1.0
22.100,94.517,1.0
24.910,94.546,1.0
24.360,97.403,0.0
15.610,89.411,1.0
16.020,92.909,1.0
22.100,95.052,0.0
16.150,92.499,1.0
17.910,93.368,1.0
18.810,93.504,1.0
11.350,89.973,1.0
12.070,89.896,1.0
13.630,92.193,1.0
14.450,91.102,1.0
20.040,95.672,1.0
8.990,90.117,1.0
10.760,86.761,1.0
11.350,89.461,1.0
20.700,95.942,1.0
19.710,94.258,1.0
20.890,89.867,1.0
23.590,96.492,0.0
14.450,91.220,1.0
15.290,90.463,1.0
15.290,90.179,1.0
15.390,91.892,1.0
20.990,122.779,0.0
20.820,123.551,0.0
21.460,118.812,0.0
15.640,92.023,1.0
16.300,91.285,1.0
16.990,92.232,1.0
15.020,91.000,1.0
14.450,91.749,1.0
15.550,91.150,1.0
15.770,97.215,1.0
17.220,91.398,1.0
19.400,87.460,1.0
10.190,86.099,1.0
10.430,91.272,1.0
10.760,86.238,1.0
11.170,88.368,1.0
11.650,89.634,1.0
12.200,88.116,1.0
12.800,91.531,1.0
8.600,87.480,1.0
8.770,86.284,1.0
10.430,91.040,1.0
11.040,87.282,1.0
11.700,87.989,1.0
8.300,85.350,1.0
8.480,89.097,1.0
8.770,86.278,1.0
9.160,85.139,1.0
9.640,85.583,1.0
10.190,86.052,1.0
10.810,88.479,1.0
11.480,90.029,1.0
12.200,88.617,1.0
12.950,92.308,1.0
13.740,92.130,1.0
14.550,91.831,1.0
20.630,94.169,1.0
17.910,93.368,1.0
18.810,93.504,1.0
9.160,85.158,1.0
9.430,90.596,1.0
9.790,90.555,1.0
10.240,88.371,1.0
11.990,92.012,1.0
12.680,91.488,1.0
13.410,91.329,1.0
14.170,91.276,1.0
14.960,90.630,1.0
11.040,84.034,1.0
11.350,96.461,1.0
10.240,87.238,1.0
9.890,92.919,1.0
11.170,88.490,1.0
16.390,92.713,0.0
22.830,95.750,0.0
18.800,89.510,1.0
19.400,87.460,1.0
8.300,85.350,1.0
8.600,87.479,1.0
9.480,86.278,1.0
16.150,92.183,1.0
13.630,92.570,1.0
12.070,89.846,1.0
15.390,91.859,1.0
9.430,90.476,1.0
12.400,88.221,1.0
13.920,91.838,1.0
9.480,86.246,1.0
11.170,88.490,1.0
13.030,88.380,1.0
14.480,90.757,1.0
15.250,99.878,1.0
10.040,86.658,1.0
13.440,91.718,1.0
14.130,90.799,1.0
14.850,90.967,1.0
16.390,88.376,1.0
10.670,88.473,1.0
12.200,86.158,1.0
12.720,88.987,1.0
13.920,91.818,1.0
15.290,90.080,1.0
17.570,92.746,1.0
16.780,91.538,1.0
20.040,87.259,1.0
16.480,93.300,1.0
15.770,93.130,1.0
13.840,89.957,1.0
15.640,92.023,1.0
14.450,91.749,1.0
17.540,93.652,1.0
16.870,91.305,1.0
16.870,91.311,1.0
18.130,91.928,1.0
18.750,91.125,1.0
18.130,91.928,1.0
16.780,91.380,1.0
